Currency,Date,Open,High,Low,Close,Dates
0x,11-Feb-18,1.09,1.09,0.934155,0.979054,1
0x,10-Feb-18,1.14,1.2,0.985705,1.1,2
0x,9-Feb-18,1.08,1.15,1.01,1.14,3
0x,8-Feb-18,0.988963,1.13,0.988963,1.07,4
0x,7-Feb-18,1.01,1.16,0.902145,0.993355,5
0x,6-Feb-18,0.821889,1.03,0.640081,1.02,6
0x,5-Feb-18,1.15,1.16,0.735911,0.817119,7
0x,4-Feb-18,1.39,1.39,1.05,1.15,8
0x,3-Feb-18,1.3,1.5,1.15,1.39,9
0x,2-Feb-18,1.61,1.61,1.05,1.3,10
0x,1-Feb-18,1.86,1.93,1.44,1.6,11
0x,31-Jan-18,1.6,1.85,1.52,1.85,12
0x,30-Jan-18,1.86,1.86,1.49,1.59,13
0x,29-Jan-18,1.98,2,1.8,1.85,14
0x,28-Jan-18,2.09,2.11,1.96,1.98,15
0x,27-Jan-18,2.01,2.16,1.96,2.09,16
0x,26-Jan-18,1.63,2.09,1.52,2.04,17
0x,25-Jan-18,1.68,1.74,1.56,1.63,18
0x,24-Jan-18,1.59,1.69,1.55,1.66,19
0x,23-Jan-18,1.67,1.75,1.51,1.59,20
0x,22-Jan-18,1.73,1.79,1.55,1.68,21
0x,21-Jan-18,2.04,2.04,1.67,1.71,22
0x,20-Jan-18,1.83,2.09,1.83,2.04,23
0x,19-Jan-18,1.64,1.92,1.57,1.81,24
0x,18-Jan-18,1.53,1.77,1.48,1.65,25
0x,17-Jan-18,1.57,1.69,1.11,1.52,26
0x,16-Jan-18,1.74,1.74,1.1,1.57,27
0x,15-Jan-18,1.98,2.17,1.74,1.75,28
achain,11-Feb-18,0.403622,0.403622,0.359711,0.373746,1
achain,10-Feb-18,0.452321,0.494501,0.375869,0.402272,2
achain,9-Feb-18,0.395627,0.461001,0.361302,0.455122,3
achain,8-Feb-18,0.320995,0.396496,0.320995,0.390225,4
achain,7-Feb-18,0.334918,0.370719,0.306233,0.325793,5
achain,6-Feb-18,0.285165,0.340647,0.237934,0.336349,6
achain,5-Feb-18,0.346553,0.367804,0.278325,0.285304,7
achain,4-Feb-18,0.414892,0.426879,0.330729,0.3531,8
achain,3-Feb-18,0.392422,0.435147,0.357994,0.417131,9
achain,2-Feb-18,0.425651,0.425651,0.330924,0.389512,10
achain,1-Feb-18,0.496475,0.500839,0.393591,0.427471,11
achain,31-Jan-18,0.469654,0.512852,0.441076,0.500596,12
achain,30-Jan-18,0.547329,0.571652,0.459481,0.459481,13
achain,29-Jan-18,0.595337,0.598988,0.526409,0.543518,14
achain,28-Jan-18,0.607201,0.612417,0.556713,0.591677,15
achain,27-Jan-18,0.622549,0.638891,0.586924,0.596463,16
achain,26-Jan-18,0.621361,0.658668,0.542024,0.626641,17
achain,25-Jan-18,0.532436,0.662473,0.518625,0.621949,18
achain,24-Jan-18,0.435674,0.546617,0.401874,0.519502,19
achain,23-Jan-18,0.425155,0.503798,0.381755,0.434755,20
achain,22-Jan-18,0.568992,0.581325,0.396544,0.416857,21
achain,21-Jan-18,0.713641,0.713641,0.533675,0.563964,22
achain,20-Jan-18,0.674328,0.733652,0.666616,0.70368,23
achain,19-Jan-18,0.592605,0.705202,0.543962,0.666717,24
achain,18-Jan-18,0.470767,0.7192,0.456715,0.606972,25
achain,17-Jan-18,0.471428,0.491702,0.353648,0.467109,26
achain,16-Jan-18,0.634196,0.634196,0.396906,0.477363,27
achain,15-Jan-18,0.778433,0.808968,0.581002,0.615825,28
adx-net,11-Feb-18,1.48,1.48,1.18,1.22,1
adx-net,10-Feb-18,1.23,1.46,1.22,1.46,2
adx-net,9-Feb-18,1.13,1.24,1.07,1.22,3
adx-net,8-Feb-18,1.06,1.21,1.06,1.13,4
adx-net,7-Feb-18,1.06,1.23,0.964062,1.07,5
adx-net,6-Feb-18,0.91534,1.09,0.727344,1.07,6
adx-net,5-Feb-18,1.18,1.2,0.869224,0.909776,7
adx-net,4-Feb-18,1.39,1.43,1.12,1.19,8
adx-net,3-Feb-18,1.31,1.43,1.17,1.39,9
adx-net,2-Feb-18,1.42,1.42,0.991169,1.31,10
adx-net,1-Feb-18,1.68,1.72,1.3,1.42,11
adx-net,31-Jan-18,1.64,1.77,1.53,1.67,12
adx-net,30-Jan-18,1.92,1.93,1.62,1.64,13
adx-net,29-Jan-18,1.98,2,1.85,1.92,14
adx-net,28-Jan-18,2.05,2.17,1.98,1.98,15
adx-net,27-Jan-18,1.97,2.07,1.93,2.04,16
adx-net,26-Jan-18,1.94,1.99,1.74,1.97,17
adx-net,25-Jan-18,1.98,2.09,1.88,1.94,18
adx-net,24-Jan-18,1.83,2.01,1.78,1.96,19
adx-net,23-Jan-18,1.82,1.95,1.69,1.85,20
adx-net,22-Jan-18,1.96,2.09,1.7,1.82,21
adx-net,21-Jan-18,2.35,2.35,1.89,1.93,22
adx-net,20-Jan-18,2.27,2.51,2.27,2.35,23
adx-net,19-Jan-18,1.94,2.3,1.88,2.25,24
adx-net,18-Jan-18,1.8,2.21,1.78,1.96,25
adx-net,17-Jan-18,1.8,1.92,1.36,1.79,26
adx-net,16-Jan-18,2.53,2.53,1.5,1.8,27
adx-net,15-Jan-18,2.69,2.83,2.53,2.53,28
aelf,11-Feb-18,1.22,1.22,1.11,1.13,1
aelf,10-Feb-18,1.35,1.4,1.18,1.22,2
aelf,9-Feb-18,1.29,1.39,1.16,1.35,3
aelf,8-Feb-18,1.18,1.34,1.18,1.28,4
aelf,7-Feb-18,1.29,1.39,1.12,1.19,5
aelf,6-Feb-18,1.07,1.29,0.870933,1.29,6
aelf,5-Feb-18,1.37,1.39,0.982856,1.07,7
aelf,4-Feb-18,1.63,1.67,1.28,1.39,8
aelf,3-Feb-18,1.59,1.7,1.45,1.63,9
aelf,2-Feb-18,1.7,1.71,1.25,1.59,10
aelf,1-Feb-18,1.94,2.16,1.59,1.7,11
aelf,31-Jan-18,1.75,2.02,1.65,1.93,12
aelf,30-Jan-18,2.07,2.2,1.69,1.74,13
aelf,29-Jan-18,1.99,2.1,1.97,2.1,14
aelf,28-Jan-18,1.97,2.16,1.96,1.99,15
aelf,27-Jan-18,2.09,2.09,1.88,1.95,16
aelf,26-Jan-18,2.29,2.29,1.87,2.09,17
aelf,25-Jan-18,1.79,2.51,1.78,2.29,18
aelf,24-Jan-18,1.42,2.03,1.37,1.8,19
aelf,23-Jan-18,1.43,1.55,1.25,1.43,20
aelf,22-Jan-18,1.6,1.62,1.3,1.43,21
aelf,21-Jan-18,1.98,2,1.44,1.58,22
aelf,20-Jan-18,1.62,2.1,1.57,1.98,23
aelf,19-Jan-18,1.37,1.66,1.28,1.63,24
aelf,18-Jan-18,1.3,1.48,1.21,1.38,25
aelf,17-Jan-18,1.08,1.37,0.970328,1.29,26
aelf,16-Jan-18,1.36,1.38,0.911486,1.09,27
aelf,15-Jan-18,1.66,1.67,1.34,1.36,28
